Gene_id	Gene_name	Unknown_Barcode	T14A	T0A	T0B	T14B
MSTRG.10187	LOC111222860	0	0	0	0	0
MSTRG.10188	acy1	0	0	0	0	0
MSTRG.10189	LOC111222931	0	0	0	0	0
MSTRG.1019	ppp6c	0	0	0	0	0
MSTRG.10190	MSTRG.9618	0	0	0	0	0
MSTRG.10191	MSTRG.9619	0	0	0	0	0
MSTRG.10192	rsg1	0	0	0	0	0
MSTRG.10193	MSTRG.9708	0	0	0	0	0
MSTRG.10194	h6pd	0	0	0	0	0
MSTRG.10195	MSTRG.9710	0	0	0	0	0
MSTRG.10196	MSTRG.9711	0	0	0	0	0
MSTRG.10197	MSTRG.9712	0	0	0	0	0
MSTRG.10198	MSTRG.9713	0	0	0	0	0
MSTRG.10199	MSTRG.9714	0	0	0	0	0
MSTRG.102	MSTRG.26740	0	0	0	0	0
MSTRG.1020	LOC111218796	0	0	0	0	0
MSTRG.10200	MSTRG.9405	0	0	0	0	0
MSTRG.10201	LOC111222575	0	0	0	0	0
MSTRG.10202	MSTRG.9412	0	0	0	0	0
MSTRG.10203	MSTRG.9415	0	0	0	0	0
MSTRG.10204	brd2	0	0	0	0	0
MSTRG.10205	LOC111222706	0	0	0	0	0
MSTRG.10206	MSTRG.9421	0	0	0	0	0
MSTRG.10207	MSTRG.9424	0	0	0	0	0
MSTRG.10208	LOC111222585	0	0	0	0	0
MSTRG.10209	MSTRG.9392	0	0	0	0	0
MSTRG.1021	MSTRG.966	0	0	0	0	0
MSTRG.10210	MSTRG.9307	0	0	0	0	0
MSTRG.10211	dusp6	0	0	0	0	0
MSTRG.10212	MSTRG.9311	0	0	0	0	0
MSTRG.10213	tmtc3	0	0	0	0	0
MSTRG.10214	cep41	0	0	0	0	0
MSTRG.10215	MSTRG.9317	0	0	0	0	0
MSTRG.10216	MSTRG.9319	0	0	0	0	0
MSTRG.10217	MSTRG.9321	0	0	0	0	0
MSTRG.10218	MSTRG.9323	0	0	0	0	0
MSTRG.10219	MSTRG.9294	0	0	0	0	0
MSTRG.1022	MSTRG.968	0	0	0	0	0
MSTRG.10220	MSTRG.9345	0	0	0	0	0
MSTRG.10221	MSTRG.9348	0	0	0	0	0
MSTRG.10222	otud7b	0	0	0	0	0
MSTRG.10223	MSTRG.9354	0	0	0	0	0
MSTRG.10224	MSTRG.9356	0	0	0	0	0
MSTRG.10225	MSTRG.9358	0	0	0	0	0
MSTRG.10226	LOC111222606	0	0	0	0	0
MSTRG.10227	MSTRG.9363	0	0	0	0	0
MSTRG.10228	LOC111222579	0	0	0	0	0
MSTRG.10229	LOC111222581	0	0	0	0	0
MSTRG.1023	LOC111221747	0	0	0	0	0
MSTRG.10230	trnav-aac	0	0	0	0	0
MSTRG.10231	MSTRG.8951	0	0	0	0	0
MSTRG.10232	zswim7	0	0	0	0	0
MSTRG.10233	LOC111222295	0	0	0	0	0
MSTRG.10234	LOC111222273	0	0	0	0	0
MSTRG.10235	MSTRG.8965	0	0	0	0	0
MSTRG.10236	flot2	0	0	0	0	0
MSTRG.10237	LOC111222239	0	0	0	0	0
MSTRG.10238	ggnbp2	0	0	0	0	0
MSTRG.10239	myo19	0	0	0	0	0
MSTRG.1024	LOC111217569	0	0	0	0	0
MSTRG.10240	MSTRG.8988	0	0	0	0	0
MSTRG.10241	MSTRG.8991	0	0	0	0	0
MSTRG.10242	MSTRG.8993	0	0	0	0	0
MSTRG.10243	MSTRG.8995	0	0	0	0	0
MSTRG.10244	LOC111222267	0	0	0	0	0
MSTRG.10245	MSTRG.8999	0	0	0	0	0
MSTRG.10246	MSTRG.9001	0	0	0	0	0
MSTRG.10247	c1qbp	0	0	0	0	0
MSTRG.10248	dhx33	0	0	0	0	0
MSTRG.10249	MSTRG.9005	0	0	0	0	0
MSTRG.1025	kbtbd13	0	0	0	0	0
MSTRG.10250	LOC111222348	0	0	0	0	0
MSTRG.10251	LOC111222368	0	0	0	0	0
MSTRG.10252	MSTRG.8885	0	0	0	0	0
MSTRG.10253	MSTRG.8887	0	0	0	0	0
MSTRG.10254	LOC111222313	0	0	0	0	0
MSTRG.10255	MSTRG.8891	0	0	0	0	0
MSTRG.10256	LOC111222359	0	0	0	0	0
MSTRG.10257	MSTRG.8895	0	0	0	0	0
MSTRG.10258	MSTRG.8897	0	0	0	0	0
MSTRG.10259	MSTRG.8899	0	0	0	0	0
MSTRG.1026	pdcd7	0	0	0	0	0
MSTRG.10260	LOC111222203	0	0	0	0	0
MSTRG.10261	MSTRG.8911	0	0	0	0	0
MSTRG.10262	MSTRG.8913	0	0	0	0	0
MSTRG.10263	MSTRG.8915	0	0	0	0	0
MSTRG.10264	MSTRG.8917	0	0	0	0	0
MSTRG.10265	MSTRG.8919	0	0	0	0	0
MSTRG.10266	MSTRG.8921	0	0	0	0	0
MSTRG.10267	LOC111222357	0	0	0	0	0
MSTRG.10268	LOC111222187	0	0	0	0	0
MSTRG.10269	LOC111222174	0	0	0	0	0
MSTRG.1027	shcbp1	0	0	0	0	0
MSTRG.10270	c2cd2	0	0	0	0	0
MSTRG.10271	atg101	0	0	0	0	0
MSTRG.10272	zbtb21	0	0	0	0	0
MSTRG.10273	map6	0	0	0	0	0
MSTRG.10274	dgat2	0	0	0	0	0
MSTRG.10275	MSTRG.9045	0	0	0	0	0
MSTRG.10276	wnt11	0	0	0	0	0
MSTRG.10277	LOC111222259	0	0	0	0	0
MSTRG.10278	MSTRG.9051	0	0	0	0	0
MSTRG.10279	ei24	0	0	0	0	0
MSTRG.1028	MSTRG.960	0	0	0	0	0
MSTRG.10280	LOC111222320	0	0	0	0	0
MSTRG.10281	MSTRG.9060	0	0	0	0	0
MSTRG.10282	LOC111222389	0	0	0	0	0
MSTRG.10283	LOC111222351	0	0	0	0	0
MSTRG.10284	acat1	0	0	0	0	0
MSTRG.10285	acer3	0	0	0	0	0
MSTRG.10286	MSTRG.9066	0	0	0	0	0
MSTRG.10287	MSTRG.9068	0	0	0	0	0
MSTRG.10288	MSTRG.9070	0	0	0	0	0
MSTRG.10289	LOC111222363	0	0	0	0	0
MSTRG.1029	MSTRG.961	0	0	0	0	0
MSTRG.10290	MSTRG.9058	0	0	0	0	0
MSTRG.10291	MSTRG.9008	0	0	0	0	0
MSTRG.10292	MSTRG.9009	0	0	0	0	0
MSTRG.10293	MSTRG.9010	0	0	0	0	0
MSTRG.10294	zzef1	0	0	0	0	0
MSTRG.10295	LOC111222147	0	0	0	0	0
MSTRG.10296	ankfy1	0	0	0	0	0
MSTRG.10297	MSTRG.9014	0	0	0	0	0
MSTRG.10298	MSTRG.9016	0	0	0	0	0
MSTRG.10299	LOC111222235	0	0	0	0	0
MSTRG.103	MSTRG.26739	0	0	0	0	0
MSTRG.1030	MSTRG.943	0	0	0	0	0
MSTRG.10300	LOC111221484	0	0	0	0	0
MSTRG.10301	LOC111221482	0	0	0	0	0
MSTRG.10302	MSTRG.8666	0	0	0	0	0
MSTRG.10303	MSTRG.8668	0	0	0	0	0
MSTRG.10304	LOC111221479	0	0	0	0	0
MSTRG.10305	MSTRG.8672	0	0	0	0	0
MSTRG.10306	nelfcd	0	0	0	0	0
MSTRG.10307	LOC111221480	0	0	0	0	0
MSTRG.10308	MSTRG.8647	0	0	0	0	0
MSTRG.10309	MSTRG.8649	0	0	0	0	0
MSTRG.1031	MSTRG.945	0	0	0	0	0
MSTRG.10310	nuak2	0	0	0	0	0
MSTRG.10311	med20	0	0	0	0	0
MSTRG.10312	LOC111222103	0	0	0	0	0
MSTRG.10313	LOC111222112	0	0	0	0	0
MSTRG.10314	LOC111222085	0	0	0	0	0
MSTRG.10315	MSTRG.8832	0	0	0	0	0
MSTRG.10316	LOC111222106	0	0	0	0	0
MSTRG.10317	MSTRG.8836	0	0	0	0	0
MSTRG.10318	LOC111222117	0	0	0	0	0
MSTRG.10319	mrpl20	0	0	0	0	0
MSTRG.1032	MSTRG.947	0	0	0	0	0
MSTRG.10320	MSTRG.8860	0	0	0	0	0
MSTRG.10321	LOC111222064	0	0	0	0	0
MSTRG.10322	MSTRG.8865	0	0	0	0	0
MSTRG.10323	MSTRG.8867	0	0	0	0	0
MSTRG.10324	LOC111222358	0	0	0	0	0
MSTRG.10325	MSTRG.8872	0	0	0	0	0
MSTRG.10326	MSTRG.8874	0	0	0	0	0
MSTRG.10327	LOC111222139	0	0	0	0	0
MSTRG.10328	MSTRG.8877	0	0	0	0	0
MSTRG.10329	MSTRG.8838	0	0	0	0	0
MSTRG.1033	MSTRG.949	0	0	0	0	0
MSTRG.10330	MSTRG.8756	0	0	0	0	0
MSTRG.10331	LOC111221638	0	0	0	0	0
MSTRG.10332	fkbp11	0	0	0	0	0
MSTRG.10333	pa2g4	0	0	0	0	0
MSTRG.10334	MSTRG.8767	0	0	0	0	0
MSTRG.10335	MSTRG.8769	0	0	0	0	0
MSTRG.10336	MSTRG.8771	0	0	0	0	0
MSTRG.10337	ccdc174	0	0	0	0	0
MSTRG.10338	prkcd	0	0	0	0	0
MSTRG.10339	rft1	0	0	0	0	0
MSTRG.1034	MSTRG.951	0	0	0	0	0
MSTRG.10340	LOC111221461	0	0	0	0	0
MSTRG.10341	MSTRG.8795	0	0	0	0	0
MSTRG.10342	MSTRG.8797	0	0	0	0	0
MSTRG.10343	LOC111222065	0	0	0	0	0
MSTRG.10344	slc25a34	0	0	0	0	0
MSTRG.10345	szrd1	0	0	0	0	0
MSTRG.10346	necap2	0	0	0	0	0
MSTRG.10347	crocc	0	0	0	0	0
MSTRG.10348	mfap2	0	0	0	0	0
MSTRG.10349	LOC111222093	0	0	0	0	0
MSTRG.1035	MSTRG.953	0	0	0	0	0
MSTRG.10350	MSTRG.10476	0	0	0	0	0
MSTRG.10351	MSTRG.10478	0	0	0	0	0
MSTRG.10352	MSTRG.10480	0	0	0	0	0
MSTRG.10353	kat8	0	0	0	0	0
MSTRG.10354	MSTRG.10484	0	0	0	0	0
MSTRG.10355	MSTRG.10486	0	0	0	0	0
MSTRG.10356	MSTRG.10488	0	0	0	0	0
MSTRG.10357	MSTRG.10490	0	0	0	0	0
MSTRG.10358	MSTRG.10492	0	0	0	0	0
MSTRG.10359	LOC111223678	0	0	0	0	0
MSTRG.1036	MSTRG.955	0	0	0	0	0
MSTRG.10360	MSTRG.10509	0	0	0	0	0
MSTRG.10361	LOC111223680	0	0	0	0	0
MSTRG.10362	LOC111223726	0	0	0	0	0
MSTRG.10363	LOC111223763	0	0	0	0	0
MSTRG.10364	MSTRG.10517	0	0	0	0	0
MSTRG.10365	LOC111223778	0	0	0	0	0
MSTRG.10366	MSTRG.10522	0	0	0	0	0
MSTRG.10367	LOC111223757	0	0	0	0	0
MSTRG.10368	MSTRG.10529	0	0	0	0	0
MSTRG.10369	LOC111223716	0	0	0	0	0
MSTRG.1037	MSTRG.957	0	0	0	0	0
MSTRG.10370	MSTRG.10430	0	0	0	0	0
MSTRG.10371	MSTRG.10431	0	0	0	0	0
MSTRG.10372	MSTRG.10433	0	0	0	0	0
MSTRG.10373	MSTRG.10435	0	0	0	0	0
MSTRG.10374	MSTRG.10437	0	0	0	0	0
MSTRG.10375	MSTRG.10439	0	0	0	0	0
MSTRG.10376	MSTRG.10441	0	0	0	0	0
MSTRG.10377	MSTRG.10443	0	0	0	0	0
MSTRG.10378	LOC111223608	0	0	0	0	0
MSTRG.10379	MSTRG.10447	0	0	0	0	0
MSTRG.1038	MSTRG.958	0	0	0	0	0
MSTRG.10380	MSTRG.10450	0	0	0	0	0
MSTRG.10381	LOC111223568	0	0	0	0	0
MSTRG.10382	MSTRG.10452	0	0	0	0	0
MSTRG.10383	LOC111223603	0	0	0	0	0
MSTRG.10384	MSTRG.10455	0	0	0	0	0
MSTRG.10385	nat16	0	0	0	0	0
MSTRG.10386	MSTRG.10459	0	0	0	0	0
MSTRG.10387	MSTRG.10461	0	0	0	0	0
MSTRG.10388	LOC111223644	0	0	0	0	0
MSTRG.10389	MSTRG.10465	0	0	0	0	0
MSTRG.1039	MSTRG.940	0	0	0	0	0
MSTRG.10390	LOC111223665	0	0	0	0	0
MSTRG.10391	MSTRG.10553	0	0	0	0	0
MSTRG.10392	cnn1	0	0	0	0	0
MSTRG.10393	MSTRG.10555	0	0	0	0	0
MSTRG.10394	MSTRG.10556	0	0	0	0	0
MSTRG.10395	LOC111223770	0	0	0	0	0
MSTRG.10396	MSTRG.10559	0	0	0	0	0
MSTRG.10397	LOC111223771	0	0	0	0	0
MSTRG.10398	MSTRG.10563	0	0	0	0	0
MSTRG.10399	MSTRG.10565	0	0	0	0	0
MSTRG.104	LOC111239310	0	0	0	0	0
MSTRG.1040	MSTRG.990	0	0	0	0	0
MSTRG.10400	MSTRG.10296	0	0	0	0	0
MSTRG.10401	MSTRG.10298	0	0	0	0	0
MSTRG.10402	MSTRG.10299	0	0	0	0	0
MSTRG.10403	lrp12	0	0	0	0	0
MSTRG.10404	MSTRG.10302	0	0	0	0	0
MSTRG.10405	MSTRG.10304	0	0	0	0	0
MSTRG.10406	cap1	0	0	0	0	0
MSTRG.10407	MSTRG.10286	0	0	0	0	0
MSTRG.10408	MSTRG.10287	0	0	0	0	0
MSTRG.10409	LOC111223403	0	0	0	0	0
MSTRG.1041	MSTRG.991	0	0	0	0	0
MSTRG.10410	MSTRG.10233	0	0	0	0	0
MSTRG.10411	skiv2l	0	0	0	0	0
MSTRG.10412	utp23	0	0	0	0	0
MSTRG.10413	MSTRG.10239	0	0	0	0	0
MSTRG.10414	zbtb12	0	0	0	0	0
MSTRG.10415	slc44a4	0	0	0	0	0
MSTRG.10416	slc30a8	0	0	0	0	0
MSTRG.10417	MSTRG.10225	0	0	0	0	0
MSTRG.10418	LOC111223486	0	0	0	0	0
MSTRG.10419	LOC111223027	0	0	0	0	0
MSTRG.1042	MSTRG.992	0	0	0	0	0
MSTRG.10420	MSTRG.10260	0	0	0	0	0
MSTRG.10421	MSTRG.10262	0	0	0	0	0
MSTRG.10422	MSTRG.10264	0	0	0	0	0
MSTRG.10423	LOC111223220	0	0	0	0	0
MSTRG.10424	MSTRG.10268	0	0	0	0	0
MSTRG.10425	LOC111223014	0	0	0	0	0
MSTRG.10426	MSTRG.10272	0	0	0	0	0
MSTRG.10427	MSTRG.10274	0	0	0	0	0
MSTRG.10428	MSTRG.10245	0	0	0	0	0
MSTRG.10429	MSTRG.10246	0	0	0	0	0
MSTRG.1043	MSTRG.993	0	0	0	0	0
MSTRG.10430	focad	0	0	0	0	0
MSTRG.10431	LOC111223634	0	0	0	0	0
MSTRG.10432	MSTRG.10379	0	0	0	0	0
MSTRG.10433	paqr9	0	0	0	0	0
MSTRG.10434	MSTRG.10384	0	0	0	0	0
MSTRG.10435	MSTRG.10387	0	0	0	0	0
MSTRG.10436	MSTRG.10389	0	0	0	0	0
