Gene_id	T14A	T0A	T0B	T14B
MSTRG.10213	0	0	0	0
MSTRG.10214	0	0	0	0
MSTRG.10215	0	0	0	0
MSTRG.10216	0	0	0	0
MSTRG.10217	0	0	0	0
MSTRG.10218	0	0	0	0
MSTRG.10219	0	0	0	0
MSTRG.1022	0	0	0	0
MSTRG.10220	0	0	0	0
MSTRG.10221	0	0	0	0
MSTRG.10222	0	0	0	0
MSTRG.10223	0	0	0	0
MSTRG.10224	0	0	0	0
MSTRG.10225	0	0	0	0
MSTRG.10226	0	0	0	0
MSTRG.10227	0	0	0	0
MSTRG.10228	0	0	0	0
MSTRG.10229	0	0	0	0
MSTRG.1023	0	0	0	0
MSTRG.10230	0	0	0	0
MSTRG.10231	0	0	0	0
MSTRG.10232	0	0	0	0
MSTRG.10233	0	0	0	0
MSTRG.10234	0	0	0	0
MSTRG.10235	0	0	0	0
MSTRG.10236	0	0	0	0
MSTRG.10237	0	0	0	0
MSTRG.10238	0	0	0	0
MSTRG.10239	0	0	0	0
MSTRG.1024	0	0	0	0
MSTRG.10240	0	0	0	0
MSTRG.10241	0	0	0	0
MSTRG.10242	0	0	0	0
MSTRG.10243	0	0	0	0
MSTRG.10244	0	0	0	0
MSTRG.10245	0	0	0	0
MSTRG.10246	0	0	0	0
MSTRG.10247	0	0	0	0
MSTRG.10248	0	0	0	0
MSTRG.10249	0	0	0	0
MSTRG.1025	0	0	0	0
MSTRG.10250	0	0	0	0
MSTRG.10251	0	0	0	0
MSTRG.10252	0	0	0	0
MSTRG.10253	0	0	0	0
MSTRG.10254	0	0	0	0
MSTRG.10255	0	0	0	0
MSTRG.10256	0	0	0	0
MSTRG.10257	0	0	0	0
MSTRG.10258	0	0	0	0
MSTRG.10259	0	0	0	0
MSTRG.1026	0	0	0	0
MSTRG.10260	0	0	0	0
MSTRG.10261	0	0	0	0
MSTRG.10262	0	0	0	0
MSTRG.10263	0	0	0	0
MSTRG.10264	0	0	0	0
MSTRG.10265	0	0	0	0
MSTRG.10266	0	0	0	0
MSTRG.10267	0	0	0	0
MSTRG.10268	0	0	0	0
MSTRG.10269	0	0	0	0
MSTRG.1027	0	0	0	0
MSTRG.10270	0	0	0	0
MSTRG.10271	0	0	0	0
MSTRG.10272	0	0	0	0
MSTRG.10273	0	0	0	0
MSTRG.10274	0	0	0	0
MSTRG.10275	0	0	0	0
MSTRG.10276	0	0	0	0
MSTRG.10277	0	0	0	0
MSTRG.10278	0	0	0	0
MSTRG.10279	0	0	0	0
MSTRG.1028	0	0	0	0
MSTRG.10280	0	0	0	0
MSTRG.10281	0	0	0	0
MSTRG.10282	0	0	0	0
MSTRG.10283	0	0	0	0
MSTRG.10284	0	0	0	0
MSTRG.10285	0	0	0	0
MSTRG.10286	0	0	0	0
MSTRG.10287	0	0	0	0
MSTRG.10288	0	0	0	0
